From Date,O3,Temperature,SO2,PM10,NO2,CO
2015-06-19 3:00:00,67.17,93.2,4.96,295.87,61.46,1.02
2015-06-19 6:00:00,73.24,91.4,6.7,162.92,66.91,1.37
2015-06-19 9:00:00,71.53,98.6,6.13,219.33,58.85,1.32
2015-06-19 12:00:00,86.73,96.98749999999998,5.66,203.0,42.74,1.4
2015-06-19 15:00:00,83.82,97.1890625,6.94,134.17,39.48,1.22
2015-06-19 18:00:00,86.81,96.9861328125,9.27,188.04,51.64,1.32
2015-06-19 21:00:00,72.28,96.8,10.8,200.68,70.22,1.67
2015-06-20 0:00:00,59.9,93.2,10.51,177.91,46.87,1.28
2015-06-20 3:00:00,56.85,93.2,9.25,180.73,33.17,1.12
2015-06-20 6:00:00,58.43,89.6,8.1,66.17,50.01,1.36
2015-06-20 9:00:00,112.08,89.6,9.36,261.53,35.9,1.26
2015-06-20 12:00:00,97.88,95.0,9.58,339.63,52.61,1.2
2015-06-20 15:00:00,67.69,99.0,5.4,119.5,67.79,1.35
2015-06-20 18:00:00,58.65,95.0,45.81,114.93,64.13,1.38
2015-06-20 21:00:00,74.87,91.4,6.58,297.33,78.22,1.39
2015-06-21 0:00:00,44.75,89.6,7.53,95.46,63.85,1.28
2015-06-21 3:00:00,57.97,86.0,4.78,113.0,47.4,1.08
2015-06-21 6:00:00,25.53,86.0,6.85,105.6575,38.38,1.7
2015-06-21 9:00:00,48.96,77.0,5.8,106.5753125,29.83,1.72
2015-06-21 12:00:00,51.45,84.2,6.6,88.66441406249999,32.4,1.72
2015-06-21 15:00:00,68.24,91.4,9.17,70.88,43.17,1.29
2015-06-21 18:00:00,68.13,89.6,4.78,43.13,58.03,1.4
2015-06-21 21:00:00,55.63,87.8,4.24,93.67,81.08,2.24
2015-06-22 0:00:00,64.31,86.0,4.16,132.23,69.84,1.66
2015-06-22 3:00:00,61.16,84.2,4.69,117.07,50.21,1.02
2015-06-22 6:00:00,56.32,82.4,5.57,89.92,46.21,1.18
2015-06-22 9:00:00,39.98,93.2,3.11,82.46,44.26,1.33
2015-06-22 12:00:00,61.21,98.6,3.49,535.58,34.69,1.27
2015-06-22 15:00:00,53.42,93.2,5.5,76.46,54.52,1.24
2015-06-22 18:00:00,49.15,93.2,5.84,75.07,84.75,1.35
2015-06-22 21:00:00,79.18,89.6,7.71,338.27,88.7,1.77
2015-06-23 0:00:00,52.22,87.8,6.63,127.08,83.1,1.46
2015-06-23 3:00:00,107.79,86.0,8.19,140.5,56.21,1.39
2015-06-23 6:00:00,114.18,86.0,9.53,197.04,74.08,1.47
2015-06-23 9:00:00,63.17,92.85,7.89,158.08,56.02,1.27
2015-06-23 12:00:00,71.59,98.45,5.81,58.34,40.46,1.14
2015-06-23 15:00:00,60.0,99.06875,5.96,71.46,60.22,1.29
2015-06-23 18:00:00,98.3,80.6,5.11,341.55,40.43,1.11
2015-06-23 21:00:00,54.58,82.4,10.7,80.75,66.51,1.58
