From Date,O3,Temperature,SO2,PM10,NO2,CO
2015-10-15 6:00:00,68.1,71.69999999999999,10.72,145.83,40.0,1.44
2015-10-15 9:00:00,61.39,82.4,17.96,194.64,62.41,1.33
2015-10-15 12:00:00,76.11,89.6,14.32,214.06,46.06,1.06
2015-10-15 15:00:00,103.58,91.4,12.73,188.25,40.26,1.14
2015-10-15 18:00:00,93.91,86.0,8.92,211.63,89.7,1.6
2015-10-15 21:00:00,81.86,80.6,9.18,232.38,87.5,2.26
2015-10-16 0:00:00,107.63,78.8,13.03,400.75,90.72,2.95
2015-10-16 3:00:00,96.61,77.0,14.7,310.65,76.4,2.03
2015-10-16 6:00:00,75.92,73.55000000000001,10.1,358.42,68.69,2.02
2015-10-16 9:00:00,111.12,82.5,23.59,384.78,106.5,1.83
2015-10-16 12:00:00,105.91,91.95,23.02,250.0,51.63,0.95
2015-10-16 15:00:00,101.98,93.2,7.98,212.42,46.26,0.96
2015-10-16 18:00:00,93.27,87.8,16.64,267.67,97.46,1.36
2015-10-16 21:00:00,26.44,82.4,3.32,262.29,23.5,2.195
2015-10-17 0:00:00,16.6,78.8,6.04,261.64874999999995,35.5,1.37
2015-10-17 3:00:00,17.06,75.2,12.05,261.7289062499999,40.5,1.235
2015-10-17 6:00:00,15.08,73.5,10.5,261.7188867187499,32.25,1.10375
2015-10-17 9:00:00,16.54,82.4,7.85,261.7201391601561,16.5,1.1009375
2015-10-17 12:00:00,81.08,93.2,8.33,261.7199826049804,13.0,1.1005859375
2015-10-17 15:00:00,85.72,93.2,4.31,261.7200021743773,12.5,1.1006298828125
2015-10-17 18:00:00,69.69,86.1,3.48,186.37000027179712,11.0,0.0
2015-10-17 21:00:00,65.65,82.4,9.63,146.29,10.34,1.16
2015-10-18 0:00:00,24.91,78.8,7.02,155.4,10.0,1.17
2015-10-18 3:00:00,30.33,77.0,7.82,270.79,11.81,1.45
2015-10-18 6:00:00,23.41,73.4,4.49,259.23,10.2,1.42
2015-10-18 9:00:00,17.18,83.05,9.08,250.16,9.48,1.4
2015-10-18 12:00:00,105.12,93.2,19.79,249.76,37.52,2.83
2015-10-18 15:00:00,135.06,93.2,15.67,243.95,39.35,1.12
2015-10-18 18:00:00,103.82,87.8,10.43,266.17,70.14,1.46
2015-10-18 21:00:00,95.31,80.6,14.38,369.67,103.97,2.5
2015-10-19 0:00:00,101.01,78.8,15.56,379.37,84.54,2.9
2015-10-19 3:00:00,115.11,75.2,19.78,393.98,60.13,2.22
2015-10-19 6:00:00,82.32,73.4,10.57,396.3,45.97,1.78
2015-10-19 9:00:00,72.96,84.2,12.94,287.63,59.95,1.46
2015-10-19 12:00:00,96.1,93.2,20.64,268.84,35.14,0.92
2015-10-19 15:00:00,97.55,95.5,8.31,220.04,34.43,3.19
2015-10-19 18:00:00,72.73,91.4,17.29,218.93,76.02,1.35
2015-10-19 21:00:00,91.06,86.0,37.82,351.72,97.5,3.47
